Name
"FILM AND TELEVISION INSTITUTE OF INDIA, PUNE - [FTII]"
"INDIAN INSTITUTE OF JOURNALISM AND NEW MEDIA, BANGALORE - [IIJNM]"
"INDIAN INSTITUTE OF MASS COMMUNICATION, NEW DELHI - [IIMC]"
"INSTITUTE OF MANAGEMENT STUDIES, NOIDA - [IMS]"
"KISHINCHAND CHELLARAM COLLEGE, MUMBAI - [KC COLLEGE]"
"LALA LAJPAT RAI COLLEGE OF COMMERCE AND ECONOMICS, MUMBAI"
"LINGAYA'S UNIVERSITY, FARIDABAD"
"LOVELY PROFESSIONAL UNIVERSITY, JALANDHAR - [LPU]"
"MANAV RACHNA INTERNATIONAL INSTITUTE OF RESEARCH AND STUDIES, FARIDABAD - [MRIIRS]"
"MANORAMA SCHOOL OF COMMUNICATION, KOTTAYAM - [MASCOM]"
"NIMS UNIVERSITY, JAIPUR"
"SHARDA UNIVERSITY, GREATER NOIDA - [SU]"
"SOPHIA COLLEGE FOR WOMEN, MUMBAI"
"SRI GURU GOBIND SINGH COLLEGE OF COMMERCE, NEW DELHI"
"ST ANDREW'S COLLEGE OF ARTS SCIENCE AND COMMERCE, MUMBAI"
"TILAK MAHARASHTRA VIDYAPEETH, PUNE - [TMV]"
"UNIVERSITY OF MYSORE, MYSORE - [UOM]"
"VIVEKANANDA INSTITUTE OF PROFESSIONAL STUDIES, NEW DELHI - [VIPS]"
"XAVIER INSTITUTE OF COMMUNICATIONS, MUMBAI - [XIC]"
"AMITY LAW SCHOOL, NOIDA - [ALS]"
"ARMY INSTITUTE OF LAW, MOHALI - [AIL]"
"BHARATI VIDYAPEETH NEW LAW COLLEGE -[NLC], PUNE"
"COCHIN UNIVERSITY OF SCIENCE AND TECHNOLOGY, SCHOOL OF LEGAL STUDIES"
"DR RAM MANOHAR LOHIYA NATIONAL LAW UNIVERSITY, LUCKNOW - [RMLNLU]"
"FACULTY OF LAW, UNIVERSITY OF DELHI"
"FACULTY OF LAW, BANARAS HINDU UNIVERSITY"
"FACULTY OF LAW JAMIA MILLIA ISLAMIA UNIVERSITY, NEW DELHI"
"FACULTY OF LAW UNIVERSITY OF CALCUTTA, KOLKATA"
"GOVERNMENT LAW COLLEGE, MUMBAI - [GLC]"
"GUJARAT NATIONAL LAW UNIVERSITY, GANDHI NAGAR - [GNLU]"
"HIDAYATULLAH NATIONAL LAW UNIVERSITY, RAIPUR - [HNLU]"
"ILS LAW COLLEGE, PUNE - [ILS]"
"M.S. RAMAIAH COLLEGE OF LAW, BANGALORE - [MSRCL]"
"NALSAR UNIVERSITY OF LAW, HYDERABAD - [NALSAR]"
"NATIONAL LAW SCHOOL OF INDIA UNIVERSITY, BANGALORE - [NLSIU]"
"NATIONAL LAW UNIVERSITY, JODHPUR - [NLU]"
"NATIONAL LAW UNIVERSITY, NEW DELHI - [NLU]"
"O.P. JINDAL GLOBAL UNIVERSITY, JINDAL GLOBAL LAW SCHOOL - [JGLS]"
"RAJIV GANDHI NATIONAL UNIVERSITY OF LAW, PATIALA - [RGNUL]"
"SINHGAD LAW COLLEGE, PUNE"
"SULTAN-UL-ULOOM COLLEGE OF LAW, HYDERABAD"
"SYMBIOSIS LAW SCHOOL, PUNE - [SLS]"
"TAMIL NADU DR AMBEDKAR LAW UNIVERSITY, CHENNAI - [TNDALU]"
"THE NATIONAL LAW INSTITUTE UNIVERSITY, BHOPAL - [NLIU]"
"THE WEST BENGAL NATIONAL UNIVERSITY OF JURIDICAL SCIENCES, KOLKATA - [NUJS]"
"UNIVERSITY COLLEGE OF LAW, OSMANIA UNIVERSITY"
"UNIVERSITY COLLEGE OF LAW BANGALORE UNIVERSITY, BANGALORE"
"AMRAPALI INSTITUTE OF HOTEL MANAGEMENT, HALDWANI"
"APEEJAY INSTITUTE OF HOSPITALITY, MUMBAI - [AIH]"
"ARMY INSTITUTE OF HOTEL MANAGEMENT & CATERING TECHNOLOGY, BANGALORE - [AIHMCT]"
"CHITKARA SCHOOL OF HOSPITALITY -[CSH], CHANDIGARH"
"CT INSTITUTE OF HOTEL MANAGEMENT, JALANDHAR"
"DESH BHAGAT INSTITUTE OF HOTEL MANAGEMENT & CATERING TECHNOLOGY, GOBINDGARH - [DBIHMCT]"
"DR.AMBEDKAR INSTITUTE OF HOTEL MANAGEMENT CATERING AND NUTRITION, CHANDIGARH - [IHM]"
"GURU NANAK INSTITUTE OF HOTEL MANAGEMENT, KOLKATA - [GNIHM]"
"INDIAN SCHOOL OF HOSPITALITY, GURGAON - [ISH]"
"INSTITUTE OF HOTEL MANAGEMENT, CATERING AND NUTRITION - [IHM]"
