2018/08/23 22:52:33 [error] 13901#13901: *13444 open() "/var/www/moodi.org/SystemPanel/static/admin/css/responsive.css" failed (2: No such file or directory), client: 206.189.157.46, server: api2.moodi.org, request: "GET /static/admin/css/responsive.css HTTP/1.1", host: "api2.moodi.org", referrer: "https://api2.moodi.org/admin/users/userprofile/4/change/"
2018/08/23 22:52:34 [error] 13901#13901: *13425 open() "/var/www/moodi.org/SystemPanel/static/admin/css/responsive.css" failed (2: No such file or directory), client: 206.189.157.46, server: api2.moodi.org, request: "GET /static/admin/css/responsive.css HTTP/1.1", host: "api2.moodi.org", referrer: "https://api2.moodi.org/admin/users/userprofile/4/change/"
2018/08/23 22:52:38 [error] 13901#13901: *13425 open() "/var/www/moodi.org/SystemPanel/static/rest_framework/js/jquery-3.3.1.min.js" failed (2: No such file or directory), client: 206.189.157.46, server: api2.moodi.org, request: "GET /static/rest_framework/js/jquery-3.3.1.min.js HTTP/1.1", host: "api2.moodi.org", referrer: "https://api2.moodi.org/team/my_team/10442398"
2018/08/23 22:54:59 [error] 13901#13901: *13483 open() "/var/www/moodi.org/SystemPanel/static/admin/css/responsive.css" failed (2: No such file or directory), client: 206.189.157.46, server: api2.moodi.org, request: "GET /static/admin/css/responsive.css HTTP/1.1", host: "api2.moodi.org", referrer: "https://api2.moodi.org/admin/"
2018/08/23 22:55:04 [error] 13901#13901: *13486 open() "/var/www/moodi.org/SystemPanel/static/admin/css/responsive.css" failed (2: No such file or directory), client: 206.189.157.46, server: api2.moodi.org, request: "GET /static/admin/css/responsive.css HTTP/1.1", host: "api2.moodi.org", referrer: "https://api2.moodi.org/admin/users/group/"
2018/08/23 22:55:08 [error] 13901#13901: *13496 open() "/var/www/moodi.org/SystemPanel/static/admin/css/responsive.css" failed (2: No such file or directory), client: 206.189.157.46, server: api2.moodi.org, request: "GET /static/admin/css/responsive.css HTTP/1.1", host: "api2.moodi.org", referrer: "https://api2.moodi.org/admin/users/group/add/"
2018/08/23 22:55:08 [error] 13901#13901: *13495 open() "/var/www/moodi.org/SystemPanel/static/admin/css/responsive.css" failed (2: No such file or directory), client: 206.189.157.46, server: api2.moodi.org, request: "GET /static/admin/css/responsive.css HTTP/1.1", host: "api2.moodi.org", referrer: "https://api2.moodi.org/admin/users/group/add/"
2018/08/23 22:56:50 [error] 13901#13901: *13553 open() "/var/www/moodi.org/SystemPanel/static/admin/css/responsive.css" failed (2: No such file or directory), client: 206.189.157.46, server: api2.moodi.org, request: "GET /static/admin/css/responsive.css HTTP/1.1", host: "api2.moodi.org", referrer: "https://api2.moodi.org/admin/"
2018/08/23 22:57:32 [error] 13901#13901: *13565 open() "/var/www/moodi.org/SystemPanel/static/admin/css/responsive.css" failed (2: No such file or directory), client: 206.189.157.46, server: api2.moodi.org, request: "GET /static/admin/css/responsive.css HTTP/1.1", host: "api2.moodi.org", referrer: "https://api2.moodi.org/admin/competitions/competitionsevent/"
2018/08/23 22:57:32 [error] 13901#13901: *13567 open() "/var/www/moodi.org/SystemPanel/static/admin/css/responsive.css" failed (2: No such file or directory), client: 206.189.157.46, server: api2.moodi.org, request: "GET /static/admin/css/responsive.css HTTP/1.1", host: "api2.moodi.org", referrer: "https://api2.moodi.org/admin/competitions/competitionsevent/"
